call_id,agent_id,call_type,destination_name,duration_seconds,et_hour,connected,judged,score,n_critical,n_major,n_minor,needs_human_review,codes,agent_score,n_process,form_accuracy,n_unverifiable,auto_fill_fields,evidence_failures,guard_drops,input_tokens,output_tokens,latency_s
2024-08-27 22:21:15.138+00+12012838683+17036319440,AGT-05,transfer_confirm_call,CVS Pharmacy,696,18,True,True,80,0,1,1,False,HOLD_OVERRUN;UNPROFESSIONAL,85,1,1.0,0,5,0,0,4983,1158,9.11
2024-08-27 18:51:24.387+00+12012838683+15094667461,AGT-05,transfer_confirm_call,Walgreens,426,14,True,True,100,0,0,0,False,,100,0,1.0,0,4,0,0,5349,1122,9.07
2024-08-07 00:41:54.628+00+12012838683+13019336165,AGT-05,transfer_confirm_call,Kensington Pharmacy,22,20,False,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,2,1,0,0,4339,905,7.4
2024-08-07 00:08:11.220+00+12012838683+18008801188,AGT-05,pa_plan_call,Bc/bs Arizona,16,20,False,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,2,1,0,0,4406,1157,8.95
2024-08-15 16:20:42.634+00+12012838683+18004212342,AGT-05,pa_plan_call,Unknown destination,13,12,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4422,1136,8.74
2024-08-28 16:39:57.218+00+12012838683+18667597494,AGT-05,patient_access_check,Skyrizi Bridge,343,12,True,True,85,0,1,0,False,MISSED_NEXT_STEP,85,0,1.0,1,4,0,0,5156,1371,10.4
2024-08-27 22:37:25.302+00+12012838683+14256893735,AGT-05,transfer_confirm_call,Cityscript Pharmacy,133,18,True,True,100,0,0,0,False,,100,0,0.8,0,5,0,0,5098,1170,9.85
2024-08-19 18:11:34.360+00+12083913427+18662953015,AGT-05,transfer_confirm_call,Signio Specialty Pharmacy,79,14,True,True,85,0,1,0,False,UNPROFESSIONAL,85,0,1.0,0,5,0,0,4866,1249,9.48
2024-08-11 13:02:43.956+00+12082540285+18008087347,AGT-06,pa_plan_call,John Hopkins,14,9,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4402,1145,8.9
2024-08-04 16:48:18.625+00+12082540285+18004212342,AGT-06,pa_plan_call,Bc/bs Federal Employees,3,12,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4347,1145,9.18
2024-08-16 23:37:25.901+00+12082540285+18882920744,AGT-06,transfer_confirm_call,BioPlus Specialty Pharmacy,965,19,True,True,50,1,0,2,True,AFTER_HOURS;HOLD_OVERRUN;PHI_DISCLOSURE,60,2,1.0,0,5,0,0,5514,1418,10.7
2024-08-30 15:57:27.021+00+12082540285+17372209738,AGT-06,transfer_confirm_call,CVS Pharmacy,454,11,True,True,60,1,0,0,True,PHI_DISCLOSURE,60,0,1.0,0,5,0,0,5264,1336,9.65
2024-08-20 23:20:44.482+00+12082540285+12087651254,AGT-06,transfer_confirm_call,Walgreens,346,19,True,True,50,1,0,2,True,AFTER_HOURS;PHI_DISCLOSURE;REDUNDANT_CALL,60,2,0.8,0,5,0,0,5362,1300,9.6
2024-08-27 15:16:43.881+00+12082540285+18008240898,AGT-06,pa_plan_call,Medco Medicare Pdp,452,11,True,True,60,1,0,0,True,PHI_DISCLOSURE,60,0,1.0,0,5,0,0,5492,1417,10.33
2024-08-22 20:20:04.743+00+12082540285+18667597494,AGT-06,patient_access_check,Skyrizi Bridge,24,16,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4358,973,7.83
2024-08-28 16:47:57.468+00+12082540285+18443874936,AGT-06,patient_access_check,Dupixent Bridge,54,12,True,True,100,0,0,0,False,,100,0,0.8,0,5,0,0,4990,1236,10.17
2024-08-16 17:45:50.836+00+12082540285+15123392050,AGT-06,transfer_confirm_call,Walmart Pharmacy,189,13,True,True,60,1,0,0,True,PHI_DISCLOSURE,60,0,1.0,0,5,0,0,5116,1319,9.79
2024-08-19 22:49:15.248+00+12082540285+18883554191,AGT-06,transfer_confirm_call,Kroger Specialty Pharmacy NOLA,141,18,True,True,100,0,0,0,False,,100,0,1.0,0,4,0,0,5098,1180,9.71
2024-08-16 22:24:09.285+00+12082540296+18007917658,AGT-07,transfer_confirm_call,Optum Home Delivery,7,18,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4363,914,7.78
2024-08-09 00:07:10.275+00+12082540296+16093948111,AGT-07,transfer_confirm_call,Siegels Pharmacy,17,20,False,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,2,1,0,0,4317,909,7.53
2024-08-01 00:45:18.059+00+12082540296+17183992716,AGT-07,transfer_confirm_call,Duane Reade,421,20,True,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,0,5,0,0,5433,1019,8.39
2024-08-08 22:45:01.026+00+12082540296+18774379012,AGT-07,transfer_confirm_call,Elixir Specialty Pharmacy,480,18,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5229,1215,8.96
2024-08-03 00:19:26.312+00+12082540296+18448258966,AGT-07,patient_access_check,Taltz Bridge,274,20,True,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,1,4,0,0,5260,1318,9.73
2024-08-09 18:56:27.317+00+12082540296+18007979791,AGT-07,pa_plan_call,United Healthcare,714,14,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5460,1333,10.1
2024-08-13 18:35:12.479+00+12012838683+18004212342,AGT-07,pa_plan_call,Advance Rx Mgmt,195,14,True,True,100,0,0,0,False,,100,0,1.0,1,4,0,0,5158,1215,9.24
2024-08-06 21:31:33.785+00+12012838683+18007979791,AGT-07,pa_plan_call,United Healthcare,100,17,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5110,1198,8.84
2024-08-06 19:14:37.846+00+12012838683+18443874936,AGT-07,patient_access_check,Dupixent Prurigo Nodularis,366,15,True,True,100,0,0,0,False,,100,0,0.8,0,5,0,0,5185,1232,9.36
2024-08-16 17:56:09.666+00+12082540296+18882920744,AGT-07,transfer_confirm_call,BioPlus Specialty Pharmacy,181,13,True,True,100,0,0,0,False,,100,0,0.8,0,5,0,0,5290,1197,10.35
2024-08-13 20:00:22.932+00+12012838683+15127948227,AGT-08,transfer_confirm_call,HEB Pharmacy Austin,15,16,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4394,969,7.89
2024-08-21 13:47:58.297+00+12012838683+17203701121,AGT-08,transfer_confirm_call,Summit Pharmacy,17,9,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4327,937,7.69
2024-08-21 14:31:42.228+00+12012838683+18554274682,AGT-08,transfer_confirm_call,Optum Specialty Pharmacy,637,10,True,True,95,0,0,1,False,HOLD_OVERRUN,100,1,1.0,0,5,0,0,5228,1236,9.48
2024-08-06 21:06:06.981+00+12082540267+17075389275,AGT-08,transfer_confirm_call,Walgreens,425,17,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5187,1183,9.68
2024-08-28 13:28:12.906+00+12012838683+18007887871,AGT-08,pa_plan_call,Community Health Netwk,1134,9,True,True,95,0,0,1,False,HOLD_OVERRUN,100,1,1.0,1,4,0,0,5172,1386,9.98
2024-08-27 21:29:44.144+00+12012838683+18009137697,AGT-08,pa_plan_call,Unknown destination,65,17,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5022,1286,9.99
2024-08-19 14:55:23.921+00+12012838683+18007979791,AGT-08,pa_plan_call,United Healthcare,3,10,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4332,1218,9.57
2024-08-12 14:03:52.608+00+12012838683+18448258966,AGT-08,patient_access_check,Taltz Bridge,451,10,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5551,1099,9.28
2024-08-19 15:14:01.397+00+12012838683+18558473553,AGT-08,patient_access_check,Opzelura CAP,189,11,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5265,1091,8.32
2024-08-07 21:16:25.060+00+12082540267+19133071730,AGT-08,transfer_confirm_call,Apotheco Pharmacy Overland Park,25,17,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4350,957,7.82
