call_id,code,severity,planted_by,manifested,detail
2024-08-29 22:04:57.331+00+12082540208+18008801188,HOLD_OVERRUN,minor,derived,,
2024-08-29 23:14:34.925+00+12012838683+18887689588,AFTER_HOURS,minor,derived,,
2024-08-29 23:35:25.708+00+12082540231+17322547800,AFTER_HOURS,minor,derived,,
2024-08-30 14:13:53.268+00+12082540552+18008240898,HOLD_OVERRUN,minor,derived,,
2024-08-29 23:35:25.708+00+12082540231+17322547800,OUTCOME_VS_RX,critical,derived,,
2024-08-04 16:17:13.795+00+12012838683+18004212342,OUTCOME_VS_RX,critical,derived,,
2024-08-10 00:48:12.983+00+12012838683+18667597494,OUTCOME_VS_RX,critical,derived,,
2024-08-14 15:35:34.655+00+12012838683+18888437226,OUTCOME_VS_RX,critical,derived,,
2024-08-29 20:38:57.462+00+12082540208+16095845851,OUTCOME_VS_RX,critical,derived,,
2024-08-28 20:00:33.482+00+12082540552+18008801188,OUTCOME_VS_RX,critical,derived,,
2024-08-28 16:39:57.218+00+12012838683+18667597494,MISSED_NEXT_STEP,major,derived-facts,True,missing: appeal_or_alternative
