call_id,reasons,call_date,hour_of_day,duration_seconds,destination,destination_name,related_to_specialty_transfer,et_hour,call_type,hold_limit,agent_id,connected,case_ref
2024-08-28 16:47:57.468+00+12082540285+18443874936,patient_access_check,2024-08-28,16:00:00,54,8443874936,Dupixent Bridge,1.0,12,patient_access_check,900,AGT-06,True,ENR-2072
2024-08-16 17:45:50.836+00+12082540285+15123392050,transfer_confirm_call,2024-08-16,17:00:00,189,5123392050,Walmart Pharmacy,0.0,13,transfer_confirm_call,420,AGT-06,True,RX-36378
2024-08-19 22:49:15.248+00+12082540285+18883554191,transfer_confirm_call,2024-08-19,22:00:00,141,8883554191,Kroger Specialty Pharmacy NOLA,1.0,18,transfer_confirm_call,420,AGT-06,True,RX-36333
2024-08-16 22:24:09.285+00+12082540296+18007917658,transfer_confirm_call,2024-08-16,22:00:00,7,8007917658,Optum Home Delivery,1.0,18,transfer_confirm_call,420,AGT-07,False,RX-34468
2024-08-09 00:07:10.275+00+12082540296+16093948111,transfer_confirm_call,2024-08-09,00:00:00,17,6093948111,Siegels Pharmacy,0.0,20,transfer_confirm_call,420,AGT-07,False,RX-16708
2024-08-01 00:45:18.059+00+12082540296+17183992716,transfer_confirm_call,2024-08-01,00:00:00,421,7183992716,Duane Reade,0.0,20,transfer_confirm_call,420,AGT-07,True,RX-32564
2024-08-08 22:45:01.026+00+12082540296+18774379012,transfer_confirm_call,2024-08-08,22:00:00,480,8774379012,Elixir Specialty Pharmacy,1.0,18,transfer_confirm_call,420,AGT-07,True,RX-31710
2024-08-03 00:19:26.312+00+12082540296+18448258966,patient_access_check,2024-08-03,00:00:00,274,8448258966,Taltz Bridge,,20,patient_access_check,900,AGT-07,True,ENR-4759
2024-08-09 18:56:27.317+00+12082540296+18007979791,pa_plan_call,2024-08-09,18:00:00,714,8007979791,United Healthcare,1.0,14,pa_plan_call,900,AGT-07,True,PA-3957
2024-08-13 18:35:12.479+00+12012838683+18004212342,pa_plan_call,2024-08-13,18:00:00,195,8004212342,Advance Rx Mgmt,1.0,14,pa_plan_call,900,AGT-07,True,PA-3095
2024-08-06 21:31:33.785+00+12012838683+18007979791,pa_plan_call,2024-08-06,21:00:00,100,8007979791,United Healthcare,1.0,17,pa_plan_call,900,AGT-07,True,PA-8591
2024-08-06 19:14:37.846+00+12012838683+18443874936,patient_access_check,2024-08-06,19:00:00,366,8443874936,Dupixent Prurigo Nodularis,1.0,15,patient_access_check,900,AGT-07,True,ENR-5855
2024-08-16 17:56:09.666+00+12082540296+18882920744,transfer_confirm_call,2024-08-16,17:00:00,181,8882920744,BioPlus Specialty Pharmacy,1.0,13,transfer_confirm_call,420,AGT-07,True,RX-36069
2024-08-13 20:00:22.932+00+12012838683+15127948227,transfer_confirm_call,2024-08-13,20:00:00,15,5127948227,HEB Pharmacy Austin,0.0,16,transfer_confirm_call,420,AGT-08,False,RX-33676
2024-08-21 13:47:58.297+00+12012838683+17203701121,transfer_confirm_call,2024-08-21,13:00:00,17,7203701121,Summit Pharmacy,1.0,9,transfer_confirm_call,420,AGT-08,False,RX-36673
2024-08-21 14:31:42.228+00+12012838683+18554274682,transfer_confirm_call,2024-08-21,14:00:00,637,8554274682,Optum Specialty Pharmacy,1.0,10,transfer_confirm_call,420,AGT-08,True,RX-36205
2024-08-06 21:06:06.981+00+12082540267+17075389275,transfer_confirm_call,2024-08-06,21:00:00,425,7075389275,Walgreens,0.0,17,transfer_confirm_call,420,AGT-08,True,RX-32325
2024-08-28 13:28:12.906+00+12012838683+18007887871,pa_plan_call,2024-08-28,13:00:00,1134,8007887871,Community Health Netwk,0.0,9,pa_plan_call,900,AGT-08,True,PA-8142
2024-08-27 21:29:44.144+00+12012838683+18009137697,pa_plan_call,2024-08-27,21:00:00,65,8009137697,Unknown destination,0.0,17,pa_plan_call,900,AGT-08,True,PA-1438
2024-08-19 14:55:23.921+00+12012838683+18007979791,pa_plan_call,2024-08-19,14:00:00,3,8007979791,United Healthcare,1.0,10,pa_plan_call,900,AGT-08,False,PA-9169
2024-08-12 14:03:52.608+00+12012838683+18448258966,patient_access_check,2024-08-12,14:00:00,451,8448258966,Taltz Bridge,,10,patient_access_check,900,AGT-08,True,ENR-1266
2024-08-19 15:14:01.397+00+12012838683+18558473553,patient_access_check,2024-08-19,15:00:00,189,8558473553,Opzelura CAP,1.0,11,patient_access_check,900,AGT-08,True,ENR-5040
2024-08-07 21:16:25.060+00+12082540267+19133071730,transfer_confirm_call,2024-08-07,21:00:00,25,9133071730,Apotheco Pharmacy Overland Park,0.0,17,transfer_confirm_call,420,AGT-08,False,RX-32854
